Trial_ID,ROS_Time_sec,Replanning_Latency_sec,Path_Length_m,Path_Found_Bool,Outcome
1,32.114,130.474319,12.1767,1,0
1,32.114,11.814177,12.1767,1,0
1,32.314,0.63486,12.1606,1,0
1,32.514,0.683109,12.1397,1,0
1,32.715,0.731774,12.1169,1,0
1,32.914,0.54232,12.1081,1,0
1,33.115,0.594736,12.1123,1,0
1,33.315,0.58307,11.9991,1,0
1,33.514,0.740233,11.9634,1,0
1,33.714,3.200049,11.8282,1,0
1,33.914,2.444984,11.7647,1,0
1,34.114,1.41755,11.6472,1,0
1,34.312,10.392837,12.4139,1,0
1,34.514,3.349295,12.3469,1,0
1,34.714,1.705251,12.2924,1,0
1,34.914,1.983245,12.2255,1,0
1,35.114,1.829165,12.1253,1,0
1,35.314,1.571963,12.0126,1,0
1,35.514,2.329028,11.9352,1,0
1,35.714,2.138407,11.848,1,0
1,35.914,1.381634,11.8397,1,0
1,36.114,1.292261,11.4162,1,0
1,36.314,1.0476,11.3217,1,0
1,36.514,1.655835,11.24,1,0
1,36.714,1.249262,11.1302,1,0
1,36.914,2.416485,11.0082,1,0
1,37.114,1.187389,10.9079,1,0
1,37.314,1.810541,10.819,1,0
1,37.514,1.685377,10.6886,1,0
1,37.714,2.087325,10.5152,1,0
1,37.914,1.492673,10.4393,1,0
1,38.114,2.572064,10.3116,1,0
1,38.315,3.611373,10.2308,1,0
1,38.514,2.436359,10.0424,1,0
1,38.714,2.907264,9.9434,1,0
1,38.914,2.37411,9.8604,1,0
1,39.114,1.703709,9.7516,1,0
1,39.314,2.031494,9.6229,1,0
1,39.514,2.288446,9.5081,1,0
1,39.714,1.601254,9.4091,1,0
1,39.914,1.14389,9.311,1,0
1,40.114,1.576004,9.2112,1,0
1,40.314,1.596295,9.1166,1,0
1,40.514,1.761541,9.0432,1,0
1,40.714,1.374092,8.8956,1,0
1,40.914,1.184305,8.8084,1,0
1,41.114,2.511357,8.7493,1,0
1,41.314,2.203489,8.7476,1,0
1,41.514,2.660979,8.818,1,0
1,41.714,3.010137,8.4652,1,0
1,41.914,2.803142,8.4158,1,0
1,42.114,5.282292,8.477,1,0
1,42.315,3.492501,8.6569,1,0
1,42.514,2.430567,7.8471,1,0
1,42.714,3.391961,7.7576,1,0
1,42.914,2.471233,7.6777,1,0
1,43.114,3.290047,7.6235,1,0
1,43.314,2.110033,7.6602,1,0
1,43.514,5.987025,7.2664,1,0
1,43.714,2.165741,7.1409,1,0
1,43.914,2.154116,7.0423,1,0
1,44.164,3.014971,6.9605,1,0
1,44.364,2.373277,6.8214,1,0
1,44.564,1.841831,6.7686,1,0
1,44.764,2.493483,6.7482,1,0
1,44.964,2.310112,6.4189,1,0
1,45.164,2.67352,6.3157,1,0
1,45.364,2.452609,6.2233,1,0
1,45.564,2.289113,6.1233,1,0
1,45.764,2.760934,6.0115,1,0
1,45.964,2.679103,5.926,1,0
1,46.164,2.597647,5.7895,1,0
1,46.364,2.0982,5.6765,1,0
1,46.564,1.407675,5.5839,1,0
1,46.764,1.384968,5.4716,1,0
1,46.964,1.118349,5.3704,1,0
1,47.164,6.186145,5.2723,1,0
1,47.364,1.419758,5.1691,1,0
1,47.564,1.188263,5.0726,1,0
1,47.764,1.250887,4.9715,1,0
1,47.964,1.288637,4.8579,1,0
1,48.164,1.48009,4.7683,1,0
1,48.364,1.532589,4.6626,1,0
1,48.564,0.977435,4.5602,1,0
1,48.764,1.786583,4.449,1,0
1,48.964,1.044476,4.3444,1,0
1,49.164,0.993644,4.2617,1,0
1,49.364,0.579569,4.1569,1,0
1,49.564,2.062493,4.0388,1,0
1,49.764,0.372908,3.9295,1,0
1,49.964,0.388866,3.8298,1,0
1,50.164,0.730442,3.728,1,0
1,50.364,0.64936,3.6558,1,0
1,50.565,0.712983,3.504,1,0
1,50.764,1.491923,3.4058,1,0
1,50.964,0.730983,3.3017,1,0
1,51.164,0.759649,3.2024,1,0
1,51.364,0.430115,3.1017,1,0
1,51.564,1.360802,3.0036,1,0
1,51.764,0.668859,2.9021,1,0
1,51.964,0.599152,2.8029,1,0
1,52.164,0.801773,2.7794,1,0
1,52.364,0.811022,2.6061,1,0
1,52.564,0.632152,2.549,1,0
1,52.764,0.636693,2.4085,1,0
1,52.964,1.983329,2.3163,1,0
1,53.164,0.676192,2.2031,1,0
1,53.364,2.248531,2.1018,1,0
1,53.564,0.7214,2.0037,1,0
1,53.764,1.392467,1.9087,1,0
1,53.964,1.05285,1.8188,1,0
1,54.164,1.525672,1.7372,1,0
1,54.364,0.78744,1.6546,1,0
1,54.564,1.056434,1.4984,1,0
1,54.764,0.925478,1.4089,1,0
1,54.965,1.539713,1.3143,1,0
1,55.164,0.662068,1.197,1,0
1,55.364,1.19393,1.0681,1,0
1,55.564,0.847355,1.0119,1,0
1,55.764,0.937103,0.8566,1,0
1,55.964,0.624777,0.7404,1,0
1,56.164,0.678775,0.6388,1,0
1,56.364,1.905331,0.5644,1,0
1,56.564,0.582861,0.4967,1,0
1,56.764,0.644943,0.3389,1,0
1,56.965,0.587777,0.2459,1,0
1,57.164,1.186763,0.2597,1,0
1,57.364,0.641485,0.3198,1,0
1,57.564,0.494655,0.3491,1,0
1,57.764,0.550654,0.3382,1,0
1,57.964,0.560195,0.3047,1,0
1,58.164,2.473525,0.2651,1,0
1,58.364,0.759649,0.2277,1,0
1,58.564,0.958852,0.1899,1,0
1,58.764,1.045476,0.141,1,0
1,58.964,0.518613,0.1084,1,0
1,59.164,0.712775,0.0877,1,1
2,63.964,3.579457,12.4777,1,0
2,63.964,104.1486,12.4777,1,0
2,64.164,0.669776,12.4595,1,0
2,64.364,0.888563,12.4042,1,0
2,64.564,0.754024,12.3156,1,0
2,64.765,1.302969,12.2213,1,0
2,64.964,0.793481,12.095,1,0
2,65.164,1.117141,12.0002,1,0
2,65.364,0.824522,11.8665,1,0
2,65.564,0.784148,11.7223,1,0
2,65.762,0.920146,11.6407,1,0
2,65.964,1.167181,11.5645,1,0
2,66.164,0.56657,11.3765,1,0
2,66.364,0.670985,11.2607,1,0
2,66.564,2.273572,11.1127,1,0
2,66.764,0.940353,11.0085,1,0
2,66.964,0.610652,10.9007,1,0
2,67.164,0.611819,10.8106,1,0
2,67.364,1.027893,10.6987,1,0
2,67.564,0.647152,10.5815,1,0
2,67.764,0.972394,10.4826,1,0
2,67.964,0.724816,10.389,1,0
2,68.164,0.717524,10.2763,1,0
2,68.364,0.79644,10.1935,1,0
2,68.564,0.742691,10.1396,1,0
2,68.764,0.675317,9.9532,1,0
2,68.964,0.644193,9.876,1,0
2,69.164,0.846313,9.7772,1,0
2,69.364,1.176223,9.6703,1,0
2,69.564,1.0991,9.6074,1,0
2,69.765,0.874897,9.4215,1,0
2,69.964,2.007328,9.3225,1,0
2,70.164,1.153556,9.2399,1,0
2,70.364,0.61536,9.102,1,0
2,70.564,0.416032,9.0357,1,0
2,70.764,0.484739,8.9019,1,0
2,70.964,0.801064,8.8437,1,0
2,71.164,0.565528,8.6532,1,0
2,71.364,1.062517,8.5511,1,0
2,71.564,0.522738,8.4962,1,0
2,71.764,3.275382,8.2989,1,0
2,71.964,2.075618,8.2042,1,0
2,72.164,3.367588,8.1189,1,0
2,72.364,1.47084,8.0937,1,0
2,72.564,1.976912,7.9593,1,0
2,72.764,2.14245,7.7937,1,0
2,72.964,7.287704,7.6386,1,0
2,73.164,5.789698,7.5509,1,0
2,73.364,6.685677,7.4636,1,0
2,73.564,2.610605,7.3573,1,0
2,73.764,3.319714,7.2916,1,0
2,73.965,4.253193,7.1031,1,0
2,74.164,3.444628,7.0241,1,0
2,74.364,3.671664,6.9308,1,0
2,74.564,4.34144,6.7411,1,0
2,74.764,2.725645,6.6426,1,0
2,74.964,5.65566,6.5452,1,0
2,75.164,10.127513,6.8705,1,0
2,75.364,2.702187,6.6095,1,0
2,75.564,2.757227,6.5048,1,0
2,75.764,3.343922,6.4133,1,0
2,75.965,2.132034,6.1613,1,0
2,76.164,5.398707,6.0051,1,0
2,76.364,2.001454,5.8662,1,0
2,76.565,3.27359,5.8101,1,0
2,76.764,3.070928,5.8569,1,0
2,76.964,1.682169,5.7655,1,0
2,77.164,5.970069,5.7135,1,0
2,77.364,2.957056,5.3339,1,0
2,77.564,2.466401,5.3318,1,0
2,77.764,2.28578,5.2421,1,0
2,77.964,3.078012,5.1637,1,0
2,78.164,2.206115,5.0875,1,0
2,78.365,1.459091,4.9229,1,0
2,78.564,2.20474,4.779,1,0
2,78.764,1.79525,4.7028,1,0
2,78.964,1.798416,4.613,1,0
2,79.164,2.11545,4.449,1,0
2,79.364,1.48784,4.3764,1,0
2,79.564,3.308881,4.2589,1,0
2,79.764,1.006144,4.1681,1,0
2,79.964,1.668253,4.0799,1,0
2,80.164,1.660836,3.957,1,0
2,80.364,1.416176,3.8649,1,0
2,80.564,1.596004,3.7556,1,0
2,80.764,1.503673,3.6598,1,0
2,80.964,1.436217,3.5014,1,0
2,81.164,2.956431,3.3834,1,0
2,81.364,1.430133,3.295,1,0
2,81.564,1.028226,3.2329,1,0
2,81.764,1.121266,3.2092,1,0
2,81.964,1.660295,2.9624,1,0
2,82.164,1.219596,2.8679,1,0
2,82.364,2.418735,2.703,1,0
2,82.564,2.939807,2.6081,1,0
2,82.764,1.564839,2.52,1,0
2,82.964,1.288679,2.4276,1,0
2,83.163,1.548923,2.326,1,0
2,83.364,1.580588,2.2322,1,0
2,83.564,2.141992,2.1217,1,0
2,83.764,1.241263,2.0229,1,0
2,83.964,1.543922,1.9264,1,0
2,84.164,2.099451,1.8194,1,0
2,84.365,1.758417,1.7213,1,0
2,84.614,1.601337,1.5981,1,0
2,84.814,1.936914,1.5275,1,0
2,85.014,1.820083,1.4039,1,0
2,85.212,4.793972,1.299,1,0
2,85.414,2.202698,1.201,1,0
2,85.614,1.704043,1.107,1,0
2,85.814,1.664086,1.0026,1,0
2,86.014,1.527131,0.9066,1,0
2,86.214,1.923289,0.8087,1,0
2,86.414,1.379218,0.7215,1,0
2,86.614,1.206764,0.6409,1,0
2,86.814,1.284137,0.5781,1,0
2,87.014,1.507257,0.411,1,0
2,87.214,1.536839,0.3162,1,0
2,87.414,1.85404,0.2433,1,0
2,87.615,2.217699,0.2119,1,0
2,87.814,3.329464,0.188,1,0
2,88.014,3.652457,0.2291,1,0
2,88.214,1.047601,0.3693,1,0
2,88.414,0.540613,0.3494,1,0
2,88.615,0.572987,0.211,1,0
2,88.814,0.857147,0.1844,1,0
2,89.014,2.141742,0.1462,1,0
2,89.214,3.71683,0.1105,1,0
2,89.415,1.04381,0.0781,1,1
3,92.714,80.240471,12.6626,1,0
3,92.915,14.514371,12.6631,1,0
3,93.114,0.594861,12.6246,1,0
3,93.314,0.582694,12.5641,1,0
3,93.514,0.661693,12.4771,1,0
3,93.715,0.595611,12.3975,1,0
3,93.914,0.64411,12.3195,1,0
3,94.114,0.608445,12.2858,1,0
3,94.314,2.886183,12.2533,1,0
3,94.514,7.34933,12.1732,1,0
3,94.714,3.515794,12.1683,1,0
3,94.914,2.321946,12.8286,1,0
3,95.114,1.767792,11.5692,1,0
3,95.314,2.012829,11.4415,1,0
3,95.514,2.343571,11.2916,1,0
3,95.714,3.398005,11.1944,1,0
3,95.914,4.579852,11.0895,1,0
3,96.114,6.548599,10.9882,1,0
3,96.314,2.787352,10.8887,1,0
3,96.514,5.377584,10.7972,1,0
3,96.713,4.275776,10.8077,1,0
3,96.914,6.966256,10.7878,1,0
3,97.164,3.138261,10.6473,1,0
3,97.364,2.889058,10.5542,1,0
3,97.564,2.801227,10.496,1,0
3,97.764,4.22386,10.363,1,0
3,97.964,2.530317,10.2591,1,0
3,98.164,2.553316,10.2401,1,0
3,98.364,3.073554,9.9847,1,0
3,98.564,3.182384,9.9165,1,0
3,98.764,2.722854,9.8182,1,0
3,98.964,1.214513,9.6562,1,0
3,99.164,1.294595,9.5603,1,0
3,99.364,1.779917,9.4143,1,0
3,99.564,1.750709,9.3327,1,0
3,99.763,2.16445,9.1768,1,0
3,99.964,1.4348,9.082,1,0
3,100.164,1.64642,8.9838,1,0
3,100.364,1.247638,8.8871,1,0
3,100.564,1.860498,8.8073,1,0
3,100.764,1.778125,8.6893,1,0
3,100.964,1.411593,8.5923,1,0
3,101.164,1.642129,8.4665,1,0
3,101.364,1.629837,8.3825,1,0
3,101.564,1.326511,8.2344,1,0
3,101.763,1.414759,8.1202,1,0
3,101.964,1.73596,7.9915,1,0
3,102.164,1.058226,7.8624,1,0
3,102.364,3.130345,7.7711,1,0
3,102.564,1.299928,7.6264,1,0
3,102.764,0.907896,7.5338,1,0
3,102.964,1.212514,7.4593,1,0
3,103.164,1.180306,7.3329,1,0
3,103.364,1.276096,7.2143,1,0
3,103.564,1.376384,7.1221,1,0
3,103.764,1.259846,6.9976,1,0
3,103.964,2.017329,6.899,1,0
3,104.164,2.625565,6.7981,1,0
3,104.364,1.73446,6.7027,1,0
3,104.564,1.456424,6.5981,1,0
3,104.764,1.485049,6.5004,1,0
3,104.964,1.572963,6.4001,1,0
3,105.164,1.675628,6.2979,1,0
3,105.365,1.724544,6.1998,1,0
3,105.564,1.586297,6.0919,1,0
3,105.764,1.223056,5.9789,1,0
3,105.964,1.148806,5.9304,1,0
3,106.164,1.409051,5.8808,1,0
3,106.364,0.761399,5.8405,1,0
3,106.564,1.265471,5.4889,1,0
3,106.764,3.229467,5.3293,1,0
3,106.964,1.859748,5.232,1,0
3,107.164,1.60313,5.1408,1,0
3,107.364,1.516257,5.0697,1,0
3,107.564,1.527631,4.9809,1,0
3,107.764,2.38357,4.8842,1,0
3,107.964,1.700794,4.772,1,0
3,108.164,1.51584,4.6102,1,0
3,108.364,2.270864,4.5093,1,0
3,108.564,1.216639,4.4152,1,0
3,108.764,1.429342,4.3,1,0
3,108.964,0.791023,4.1989,1,0
3,109.164,1.459091,4.0991,1,0
3,109.364,0.462281,4.0041,1,0
3,109.564,1.320636,3.9059,1,0
3,109.764,0.957436,3.7911,1,0
3,109.964,0.447823,3.7179,1,0
3,110.164,0.715066,3.538,1,0
3,110.364,1.201848,3.4389,1,0
3,110.564,0.712566,3.3573,1,0
3,110.765,0.60807,3.3152,1,0
3,110.964,1.209513,3.3232,1,0
3,111.164,0.474531,2.9772,1,0
3,111.364,0.566987,2.8587,1,0
3,111.564,0.522905,2.768,1,0
3,111.764,0.599987,2.635,1,0
3,111.964,1.147807,2.5613,1,0
3,112.164,0.62986,2.4076,1,0
3,112.364,1.297386,2.3081,1,0
3,112.564,1.10235,2.2091,1,0
3,112.762,0.590569,2.1088,1,0
3,112.964,0.644652,2.0132,1,0
3,113.164,1.115516,1.932,1,0
3,113.364,0.698609,1.7992,1,0
3,113.564,0.648652,1.7048,1,0
3,113.764,0.560737,1.624,1,0
3,113.965,0.608653,1.5688,1,0
3,114.164,1.594589,1.4771,1,0
3,114.364,0.708442,1.2818,1,0
3,114.563,0.985394,1.1803,1,0
3,114.764,0.997185,1.0294,1,0
3,114.964,0.642568,0.927,1,0
3,115.164,0.571904,0.8267,1,0
3,115.364,1.211513,0.7291,1,0
3,115.564,0.987477,0.6309,1,0
3,115.764,0.632069,0.5316,1,0
3,115.964,0.51203,0.4406,1,0
3,116.164,0.666318,0.4829,1,0
3,116.364,0.587695,0.2744,1,0
3,116.564,0.948186,0.2144,1,0
3,116.764,1.370218,0.2517,1,0
3,116.964,1.246054,0.2867,1,0
3,117.164,1.200431,0.2976,1,0
3,117.364,0.757983,0.2734,1,0
3,117.564,0.70815,0.2395,1,0
3,117.765,0.584653,0.2081,1,0
3,117.961,0.553987,0.1737,1,0
3,118.164,0.588194,0.1396,1,0
3,118.362,0.601653,0.1062,1,0
3,118.564,0.62561,0.0768,1,1
4,175.764,168.65186,12.5142,1,0
4,175.764,32.444934,12.5142,1,0
4,175.965,0.644361,12.5143,1,0
4,176.164,0.628485,12.5049,1,0
4,176.365,0.73765,12.4624,1,0
4,176.564,0.929854,12.3663,1,0
4,176.765,0.92852,12.2714,1,0
4,176.965,0.632361,12.1622,1,0
4,177.164,1.131849,12.0875,1,0
4,177.364,0.720525,12.0783,1,0
4,177.564,0.574862,12.1479,1,0
4,177.764,0.594903,12.2905,1,0
4,178.164,0.561946,11.3625,1,0
4,178.364,0.81319,11.3066,1,0
4,178.564,0.706442,11.1458,1,0
4,178.761,0.58032,11.0331,1,0
4,178.964,0.605194,10.9486,1,0
4,179.164,1.088559,10.8546,1,0
4,179.364,1.241181,10.8109,1,0
4,179.564,0.682235,10.6513,1,0
4,179.764,0.770399,10.5396,1,0
4,179.965,0.591278,10.4399,1,0
4,180.164,0.793732,10.3654,1,0
4,180.364,0.712775,10.1882,1,0
4,180.564,0.826981,10.0895,1,0
4,180.764,0.93352,10.0082,1,0
4,180.964,0.789274,9.9082,1,0
4,181.164,0.712859,9.7715,1,0
4,181.364,0.899355,9.6651,1,0
4,181.564,4.662812,9.5786,1,0
4,181.764,1.172682,9.5078,1,0
4,181.964,1.038685,9.4185,1,0
4,182.164,0.864022,9.4045,1,0
4,182.364,0.665069,9.0963,1,0
4,182.564,0.812774,8.9948,1,0
4,182.762,0.522863,8.8969,1,0
4,182.964,0.867397,8.7732,1,0
4,183.164,0.519863,8.6742,1,0
4,183.364,1.158682,8.5913,1,0
4,183.564,0.554279,8.4387,1,0
